Mire,Complete,CenterX,CenterY,EigenRatio,EllipseIrregularityPct,MajorAxisDeg,MajorExtent,MinorExtent,MaximumGapDeg,CoverageDeg,MinorAxisDeg,Selected,SpatialUnit
1,1,2.69873287471157,2.09761493650003,0.994826013386549,NaN,172.111724949833,168.026353647162,167.156987542685,2.50000000000002,357.5,82.111724949833,1,source pixels
2,1,2.5408548350633,2.37719008193158,0.994571974124891,NaN,178.192340882532,206.012371528173,204.894131044925,2.50000000000002,357.5,88.1923408825319,1,source pixels
3,1,2.16673132938634,2.995518883415,0.994816931955202,NaN,2.39970731969063,246.416376338505,245.13918349259,2.50000000000002,357.5,92.3997073196906,1,source pixels
4,1,1.48037563052664,3.86655368095568,0.994387708380807,NaN,7.17005828681962,288.764111197212,287.143482796016,2.50000000000002,357.5,97.1700582868196,1,source pixels
5,1,0.517151847521515,4.9499069667701,0.993903422772348,NaN,6.39954706390236,332.412586851012,330.386007843832,2.50000000000002,357.5,96.3995470639024,1,source pixels
6,1,-0.654251959423519,6.90959610641556,0.996023889282792,NaN,15.4802528708555,377.239076541274,375.739132206088,44,316,105.480252870855,1,source pixels
7,0,-16.719707592414,-74.5749316763084,0.792395257699812,NaN,170.419444139299,455.766489049423,361.147204541256,62.5,297.5,80.4194441392993,1,source pixels
8,0,-34.9674861837834,-157.546030081131,0.639044526165346,NaN,169.813710109927,511.79911046926,327.062420041674,107,253,79.8137101099267,1,source pixels
9,0,3.78201134914927,-160.867522908827,0.659914784869704,NaN,3.216395312538,559.487682161974,369.214193411168,100.5,259.5,93.216395312538,1,source pixels
10,0,-20.3919329971966,-231.4438281844,0.569748660406697,NaN,177.369285036499,597.032072560533,340.158223561198,128.5,231.5,87.3692850364993,1,source pixels
11,0,414.25025234474,-227.857805825256,0.249420375910931,NaN,59.0783780631687,418.058064589174,104.272199622428,246.5,113.5,149.078378063169,1,source pixels
12,0,471.767006080187,-283.383574076269,0.207350903637809,NaN,56.9151481052017,410.523301649449,85.12237756139,262.5,97.5000000000001,146.915148105202,1,source pixels
