Mire,Complete,CenterX,CenterY,EigenRatio,EllipseIrregularityPct,MajorAxisDeg,MajorExtent,MinorExtent,CenterXNominalMm,CenterYNominalMm,MajorExtentNominalMm,MinorExtentNominalMm,MajorAxisDegNominalMm,EigenRatioNominalMm,MaximumGapDeg,CoverageDeg,MinorAxisDeg,Selected,SpatialUnit
1,1,2.06112569221166,-5.16360083033463,0.995354636147682,NaN,172.220053427993,187.221089310827,186.351379230151,0.00327162808287565,-0.00819619179418198,0.297176332239408,0.295795840047859,172.220053427993,0.995354636147682,2,360,82.2200534279928,1,source pixels
2,1,1.6655230967162,-4.67736055101426,0.994890273696413,NaN,179.698312878392,226.80324720915,225.644344691147,0.00264368745510508,-0.00742438182700677,0.360005154300238,0.358165626493884,179.698312878391,0.994890273696413,2,360,89.6983128783917,1,source pixels
3,1,1.1845786641241,-3.77715559138729,0.994490206060459,NaN,0.0418383437157104,268.314038604773,266.835683540975,0.00188028359384776,-0.00599548506569412,0.425895299372656,0.423548704033293,0.0418383437159946,0.994490206060458,2,360,90.0418383437157,1,source pixels
4,1,0.343092954921824,-3.21561943824982,0.99368837238853,NaN,6.31519276148836,311.970572864537,310.001530782879,0.0005445919919394,-0.00510415783849179,0.495191385499266,0.492065921877586,6.31519276148737,0.993688372388529,2,360,96.3151927614884,1,source pixels
5,1,-0.858051568081874,-1.56600303990031,0.994986546270376,NaN,10.4936758042368,355.873798373461,354.08964155173,-0.00136198661600299,-0.00248571911095285,0.56487904503724,0.562047050082112,10.4936758042366,0.994986546270376,2,360,100.493675804237,1,source pixels
6,1,-2.31119741966134,0.225122740024939,0.994920016688317,NaN,7.87487763183267,401.220795792093,399.182600845169,-0.00366856733279579,0.000357337682579244,0.636858406019195,0.633623175944713,7.87487763183304,0.994920016688317,2,360,97.8748776318327,1,source pixels
7,1,-3.68626457611341,2.29629102943469,0.99609448974397,NaN,10.4904245672731,445.778057758688,444.037066982198,-0.00585121361287842,0.00364490639592807,0.707584218664585,0.704820741241585,10.4904245672729,0.996094489743969,2,360,100.490424567273,1,source pixels
8,1,-5.66181756700065,5.05788928757313,0.997927562335021,NaN,4.90155345228428,490.102259305386,489.08655292351,-0.00898701201111213,0.00802839569456053,0.777940094135534,0.776327861783349,4.90155345228413,0.99792756233502,2,360,94.9015534522843,1,source pixels
9,1,-7.26228551702766,7.70329020220708,0.997379692251179,NaN,40.0323920146627,533.934252192919,532.535180134537,-0.0115274373286153,0.0122274447654081,0.847514686020506,0.845293936721487,40.0323920146568,0.997379692251179,2,360,130.032392014663,1,source pixels
10,1,-9.48709244692662,10.8236585744231,0.997124313481118,NaN,75.0271470336575,576.734663321406,575.076155225121,-0.0150588768998835,0.0171804104355922,0.915451846541915,0.912819294008128,75.0271470336553,0.997124313481118,2,360,165.027147033658,1,source pixels
11,1,-11.1092073864476,17.2530154942791,0.982272755379978,NaN,80.8028930174332,626.304848232873,615.202188981543,-0.0176336625181708,0.027385738879808,0.99413467973472,0.976511411081815,80.8028930174335,0.982272755379977,2,360,170.802893017433,1,source pixels
12,1,-11.3427140593538,33.5369099714064,0.943892355289169,NaN,81.8173782717302,694.507669709456,655.540480128451,-0.0180043080307204,0.0532331904308038,1.10239312652295,1.04054044464833,81.8173782717302,0.943892355289169,2,360,171.81737827173,1,source pixels
13,1,-10.262474508957,46.5386850975959,0.922197725453465,NaN,79.756006628401,758.455387264109,699.445832992888,-0.0162896420777094,0.0738709287263427,1.20389744010176,1.11023148094109,79.756006628401,0.922197725453465,4,358,169.756006628401,1,source pixels
14,1,-6.97399359512586,41.0906964110235,0.922687424189557,NaN,75.6137770928542,806.405971889404,744.060649053711,-0.0110698311033744,0.0652233276365452,1.28000947918953,1.1810486492916,75.6137770928542,0.922687424189557,4,350,165.613777092854,1,source pixels
15,1,-13.2313990197473,-23.9306609641278,0.95958698388706,NaN,40.866557438052,838.86457150781,804.96352406289,-0.0210022206662656,-0.0379851761335363,1.33153106588541,1.27771987946491,40.8665574380519,0.95958698388706,12,324,130.866557438052,1,source pixels
16,0,83.5984046845363,-132.983802705424,0.885375635131895,NaN,42.0405475958471,922.859363351658,817.077194964891,0.132695880451645,-0.211085401119721,1.46485613230422,1.2969479285157,42.0405475958471,0.885375635131896,26,262,132.040547595847,0,source pixels
17,0,389.579916761238,-261.167464906038,0.656693467502543,NaN,66.0349578838848,915.708713848694,601.339930519593,0.618380820255934,-0.414551531596886,1.45350589499793,0.954507826221576,66.0349578838848,0.656693467502543,102,182,156.034957883885,0,source pixels
18,0,465.642858077254,-408.385283722876,0.504479289416412,NaN,57.8407473851485,944.382624047022,476.421475116448,0.739115647741674,-0.64823060908393,1.49902003816988,0.756224563676902,57.8407473851485,0.504479289416412,116,152,147.840747385148,0,source pixels
19,0,534.890746518975,-545.90362182333,0.601159553251875,NaN,58.325071631061,864.398155597647,519.641209050826,0.8490329309825,-0.866513685433857,1.37206056444071,0.824827315953692,58.3250716310609,0.601159553251875,120,94,148.325071631061,0,source pixels
20,0,553.690165989431,-741.456003436908,0.457715969974343,NaN,59.8263102906578,714.399158257706,326.99190367078,0.878873279348304,-1.1769142911697,1.13396691786937,0.519034767731397,59.8263102906578,0.457715969974343,222,46,149.826310290658,0,source pixels
21,0,633.388176400586,-874.424052900969,0.0379276855933426,NaN,29.0581911900149,301.034921997815,11.4175578741495,1.00537805777871,-1.3879746871444,0.477833209520341,0.0181231077367453,29.0581911900149,0.0379276855933427,334,12,119.058191190015,0,source pixels
